,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Friday, November 20, 2015", Bryant, Prairie View A&M,43,20,71,58
0,"Friday, November 20, 2015", Iona, Delaware,47,35,92,77
0,"Friday, November 20, 2015", Alabama, Louisiana Lafayette,55,39,105,93
0,"Friday, November 20, 2015", Arkansas, Charleston Southern,49,32,93,75
0,"Friday, November 20, 2015", Baylor, Jackson St.,29,24,77,60
0,"Friday, November 20, 2015", Kansas St., South Dakota,39,42,93,72
0,"Friday, November 20, 2015", Kentucky, Wright St.,39,26,78,63
0,"Friday, November 20, 2015", Northwestern, Columbia,28,35,83,80
0,"Friday, November 20, 2015", Pittsburgh, Detroit,46,41,95,79
0,"Friday, November 20, 2015", Oklahoma, McNeese St.,41,24,85,56
0,"Friday, November 20, 2015", South Carolina St., Longwood,39,30,83,77
