,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Saturday, November 11, 2023", Creighton, North Dakota St.,41,31,89,60
0,"Saturday, November 11, 2023", Western Carolina, Notre Dame,29,42,71,61
0,"Saturday, November 11, 2023", UNC Wilmington, UNC Asheville,26,45,83,66
0,"Saturday, November 11, 2023", Utah Tech, Jacksonville St.,33,31,81,79
0,"Saturday, November 11, 2023", Tulsa, Incarnate Word,34,31,85,71
0,"Saturday, November 11, 2023", Arizona St., Texas Southern,28,20,63,52
0,"Saturday, November 11, 2023", Marist, UMBC,22,36,65,59
0,"Saturday, November 11, 2023", Saint Peter's, NJIT,25,38,75,48
0,"Saturday, November 11, 2023", Seton Hall, Fairleigh Dickinson,47,23,85,55
0,"Saturday, November 11, 2023", Canisius, St. Bonaventure,37,30,70,67
0,"Saturday, November 11, 2023", Albany, Columbia,29,41,78,75
0,"Saturday, November 11, 2023", Cleveland St., Ohio,38,40,82,78
0,"Saturday, November 11, 2023", Providence, Milwaukee,39,26,79,69
0,"Saturday, November 11, 2023", Holy Cross, Georgetown,37,32,68,67
0,"Saturday, November 11, 2023", Loyola Chicago, Eastern Illinois,48,25,89,65
0,"Saturday, November 11, 2023", North Texas, Nebraska Omaha,42,26,75,64
0,"Saturday, November 11, 2023", Long Beach St., DePaul,21,37,77,73
0,"Saturday, November 11, 2023", UC Irvine, New Mexico St.,49,37,91,74
0,"Saturday, November 11, 2023", UC San Diego, San Diego,29,27,69,63
0,"Saturday, November 11, 2023", Ball St., Old Dominion,38,36,73,68
0,"Saturday, November 11, 2023", Houston, Texas A&M Corpus Chris,41,27,82,50
0,"Saturday, November 11, 2023", La Salle, Northeastern,38,34,79,74
0,"Saturday, November 11, 2023", Mississippi St., Tennessee Martin,41,27,87,63
0,"Saturday, November 11, 2023", Northern Illinois, Appalachian St.,48,36,91,78
0,"Saturday, November 11, 2023", Saint Louis, Illinois St.,46,34,80,71
0,"Saturday, November 11, 2023", Santa Clara, Saint Francis,46,24,82,59
0,"Saturday, November 11, 2023", UNLV, Stetson,36,21,71,55
0,"Saturday, November 11, 2023", Drexel, Winthrop,33,29,74,72
0,"Saturday, November 11, 2023", Wyoming, Cal Poly,41,31,80,66
0,"Sunday, November 12, 2023", Cincinnati, Eastern Washington,38,30,85,73
0,"Sunday, November 12, 2023", Delaware, Air Force,29,19,65,57
0,"Sunday, November 12, 2023", North Carolina, Lehigh,43,34,90,68
0,"Sunday, November 12, 2023", North Dakota, Elon,37,39,85,68
0,"Sunday, November 12, 2023", Purdue Fort Wayne, Texas A&M Commerce,46,30,86,64
