,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Wednesday, March 4, 2020", Houston Baptist, Incarnate Word,28,38,88,76
0,"Wednesday, March 4, 2020", Nicholls St., McNeese St.,39,15,80,56
0,"Wednesday, March 4, 2020", Southeastern Louisiana, Central Arkansas,35,21,69,65
0,"Wednesday, March 4, 2020", Villanova, Seton Hall,30,33,79,77
0,"Wednesday, March 4, 2020", Virginia, Miami FL,23,24,46,44
0,"Wednesday, March 4, 2020", Mississippi, Missouri,49,40,75,67
0,"Wednesday, March 4, 2020", Florida St., Notre Dame,42,35,73,71
0,"Wednesday, March 4, 2020", Oklahoma St., Kansas St.,26,23,69,63
0,"Wednesday, March 4, 2020", Dayton, Rhode Island,30,46,84,57
0,"Wednesday, March 4, 2020", Wisconsin, Northwestern,34,28,63,48
0,"Wednesday, March 4, 2020", Cal St. Northridge, UC Irvine,35,35,72,70
0,"Thursday, March 5, 2020", Michigan, Nebraska,32,28,82,58
0,"Thursday, March 5, 2020", Connecticut, Houston,30,37,77,71
0,"Thursday, March 5, 2020", North Carolina Central, North Carolina A&T,40,39,86,80
0,"Thursday, March 5, 2020", Ohio St., Illinois,30,37,71,63
0,"Thursday, March 5, 2020", Bethune Cookman, Florida A&M,30,28,72,70
0,"Thursday, March 5, 2020", Coppin St., Maryland Eastern Shore,22,26,63,60
0,"Thursday, March 5, 2020", Norfolk St., Morgan St.,25,32,68,62
0,"Thursday, March 5, 2020", Alabama A&M, Grambling St.,22,23,58,57
0,"Thursday, March 5, 2020", Jackson St., Alabama St.,12,36,71,59
0,"Thursday, March 5, 2020", Alcorn St., Prairie View A&M,38,30,80,71
0,"Thursday, March 5, 2020", Southern, Texas Southern,51,29,89,74
0,"Thursday, March 5, 2020", Washington, Arizona St.,45,41,90,83
0,"Thursday, March 5, 2020", Northern Colorado, Montana,25,30,71,64
0,"Thursday, March 5, 2020", Oregon St., Stanford,34,32,68,65
0,"Thursday, March 5, 2020", UMKC, Utah Valley,28,37,61,51
0,"Thursday, March 5, 2020", Eastern Washington, Idaho St.,46,41,100,77
0,"Thursday, March 5, 2020", Weber St., Idaho,29,38,72,64
0,"Thursday, March 5, 2020", Long Beach St., Cal Poly,24,38,80,73
0,"Thursday, March 5, 2020", Utah St., New Mexico,33,33,75,70
0,"Thursday, March 5, 2020", Hawaii, UC Davis,31,30,67,65
0,"Thursday, March 5, 2020", UC Santa Barbara, Cal St. Fullerton,25,26,55,53
0,"Thursday, March 5, 2020", Portland St., Northern Arizona,30,28,80,66
0,"Thursday, March 5, 2020", Arizona, Washington St.,29,31,83,62
0,"Thursday, March 5, 2020", Oregon, California,46,20,90,56
0,"Friday, March 6, 2020", Buffalo, Bowling Green,33,40,88,84
0,"Friday, March 6, 2020", Canisius, Niagara,28,29,67,63
0,"Friday, March 6, 2020", Georgia Tech, Clemson,28,39,65,62
0,"Friday, March 6, 2020", Richmond, Duquesne,29,37,73,62
0,"Friday, March 6, 2020", Ohio, Miami OH,22,29,67,65
0,"Friday, March 6, 2020", Siena, Monmouth,34,43,86,72
0,"Friday, March 6, 2020", N.C. State, Wake Forest,44,31,84,64
0,"Friday, March 6, 2020", Penn, Cornell,35,32,78,64
0,"Friday, March 6, 2020", Princeton, Columbia,42,21,81,58
0,"Friday, March 6, 2020", Davidson, VCU,33,35,75,65
0,"Friday, March 6, 2020", Akron, Kent St.,39,37,79,76
0,"Friday, March 6, 2020", Saint Peter's, Iona,36,36,68,65
0,"Saturday, March 7, 2020", Villanova, Georgetown,30,39,70,69
0,"Saturday, March 7, 2020", Wisconsin, Indiana,28,25,60,56
0,"Saturday, March 7, 2020", St. John's, Marquette,47,28,88,86
0,"Saturday, March 7, 2020", Auburn, Tennessee,31,42,85,63
0,"Saturday, March 7, 2020", Vanderbilt, South Carolina,33,35,83,74
0,"Saturday, March 7, 2020", Kentucky, Florida,40,30,71,70
0,"Saturday, March 7, 2020", West Virginia, Baylor,24,22,76,64
0,"Saturday, March 7, 2020", George Mason, Fordham,30,33,65,61
0,"Saturday, March 7, 2020", LSU, Georgia,49,34,94,64
0,"Saturday, March 7, 2020", Rutgers, Purdue,33,36,71,68
0,"Saturday, March 7, 2020", Creighton, Seton Hall,32,32,77,60
0,"Saturday, March 7, 2020", Missouri, Alabama,21,20,69,50
0,"Saturday, March 7, 2020", Utah, Colorado,33,41,74,72
0,"Saturday, March 7, 2020", Northwestern St., Central Arkansas,42,51,100,85
0,"Saturday, March 7, 2020", Northwestern, Penn St.,34,34,80,69
0,"Saturday, March 7, 2020", Robert Morris, LIU,43,28,86,66
0,"Saturday, March 7, 2020", Virginia, Louisville,31,24,57,54
0,"Saturday, March 7, 2020", Florida St., Boston College,42,24,80,62
0,"Saturday, March 7, 2020", Oregon St., California,26,21,74,56
0,"Saturday, March 7, 2020", Texas A&M, Arkansas,33,30,77,69
0,"Saturday, March 7, 2020", Texas A&M Corpus Chris, Houston Baptist,42,43,84,78
0,"Saturday, March 7, 2020", Eastern Washington, Weber St.,40,35,78,69
0,"Saturday, March 7, 2020", Abilene Christian, Incarnate Word,27,22,71,68
0,"Saturday, March 7, 2020", McNeese St., Lamar,36,45,70,66
0,"Saturday, March 7, 2020", Stephen F. Austin, Sam Houston St.,35,34,68,57
0,"Saturday, March 7, 2020", Penn, Columbia,40,30,85,65
0,"Saturday, March 7, 2020", Cornell, Princeton,40,37,85,82
0,"Saturday, March 7, 2020", Oklahoma, TCU,44,26,78,76
0,"Saturday, March 7, 2020", Jackson St., Alabama A&M,25,17,54,51
0,"Saturday, March 7, 2020", Alcorn St., Texas Southern,45,36,90,75
0,"Saturday, March 7, 2020", Arizona St., Washington St.,40,29,83,74
0,"Saturday, March 7, 2020", Southern, Prairie View A&M,33,31,89,80
0,"Saturday, March 7, 2020", Brown, Dartmouth,32,38,70,58
0,"Saturday, March 7, 2020", Harvard, Yale,36,32,83,69
0,"Saturday, March 7, 2020", Rhode Island, Massachusetts,32,39,64,63
0,"Saturday, March 7, 2020", New Orleans, Southeastern Louisiana,36,32,79,69
0,"Saturday, March 7, 2020", Cincinnati, Temple,17,31,64,63
0,"Saturday, March 7, 2020", UT Rio Grande Valley, Cal Baptist,28,30,79,76
0,"Saturday, March 7, 2020", Mississippi Valley St., Arkansas Pine Bluff,25,31,74,71
0,"Saturday, March 7, 2020", Butler, Xavier,27,29,72,71
0,"Saturday, March 7, 2020", Cal St. Fullerton, Long Beach St.,36,36,75,69
0,"Saturday, March 7, 2020", Portland St., Sacramento St.,39,35,76,72
0,"Saturday, March 7, 2020", Oregon, Stanford,36,31,80,67
0,"Saturday, March 7, 2020", UC Riverside, UC Davis,31,24,66,61
0,"Saturday, March 7, 2020", Miami FL, Syracuse,26,24,69,65
0,"Saturday, March 7, 2020", Northern Colorado, Montana St.,35,38,75,61
0,"Saturday, March 7, 2020", Notre Dame, Virginia Tech,28,17,64,56
0,"Saturday, March 7, 2020", Saint Louis, St. Bonaventure,38,21,72,49
0,"Sunday, March 8, 2020", Maryland, Michigan,41,28,83,70
